"code_site";"code_station";"grandeur_hydro";"date_debut_serie";"date_fin_serie";"statut_serie";"code_systeme_alti_serie";"date_obs";"resultat_obs";"code_methode_obs";"libelle_methode_obs";"code_qualification_obs";"libelle_qualification_obs";"continuite_obs_hydro";"longitude";"latitude"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T12:00:00Z";"4";"31";"2024-07-29T12:00:00Z";"191000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T12:00:00Z";"4";"31";"2024-07-29T11:50:00Z";"1953.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T12:00:00Z";"4";"31";"2024-07-29T11:50:00Z";"205000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T12:00:00Z";"4";"31";"2024-07-29T11:40:00Z";"1950.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T12:00:00Z";"4";"31";"2024-07-29T11:40:00Z";"202000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T12:00:00Z";"4";"31";"2024-07-29T11:30:00Z";"1966.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T12:00:00Z";"4";"31";"2024-07-29T11:30:00Z";"218000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T12:00:00Z";"4";"31";"2024-07-29T11:20:00Z";"1963.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T12:00:00Z";"4";"31";"2024-07-29T11:20:00Z";"215000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T12:00:00Z";"4";"31";"2024-07-29T11:10:00Z";"1958.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T12:00:00Z";"4";"31";"2024-07-29T11:10:00Z";"210000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T11:00:00Z";"4";"31";"2024-07-29T11:00:00Z";"1967.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T11:00:00Z";"4";"31";"2024-07-29T11:00:00Z";"219000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T11:00:00Z";"4";"31";"2024-07-29T10:50:00Z";"1967.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T11:00:00Z";"4";"31";"2024-07-29T10:50:00Z";"219000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T11:00:00Z";"4";"31";"2024-07-29T10:40:00Z";"1966.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T11:00:00Z";"4";"31";"2024-07-29T10:40:00Z";"218000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T11:00:00Z";"4";"31";"2024-07-29T10:30:00Z";"1965.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T11:00:00Z";"4";"31";"2024-07-29T10:30:00Z";"217000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T11:00:00Z";"4";"31";"2024-07-29T10:20:00Z";"1967.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T11:00:00Z";"4";"31";"2024-07-29T10:20:00Z";"219000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T11:00:00Z";"4";"31";"2024-07-29T10:10:00Z";"1967.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T11:00:00Z";"4";"31";"2024-07-29T10:10:00Z";"219000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T10:00:00Z";"4";"31";"2024-07-29T10:00:00Z";"1971.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T10:00:00Z";"4";"31";"2024-07-29T10:00:00Z";"223000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T10:00:00Z";"4";"31";"2024-07-29T09:50:00Z";"1971.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T10:00:00Z";"4";"31";"2024-07-29T09:50:00Z";"223000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T10:00:00Z";"4";"31";"2024-07-29T09:40:00Z";"1963.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T10:00:00Z";"4";"31";"2024-07-29T09:40:00Z";"215000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T10:00:00Z";"4";"31";"2024-07-29T09:30:00Z";"1968.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T10:00:00Z";"4";"31";"2024-07-29T09:30:00Z";"220000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T10:00:00Z";"4";"31";"2024-07-29T09:20:00Z";"1967.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T10:00:00Z";"4";"31";"2024-07-29T09:20:00Z";"219000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T10:00:00Z";"4";"31";"2024-07-29T09:10:00Z";"1967.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T10:00:00Z";"4";"31";"2024-07-29T09:10:00Z";"219000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T09:00:00Z";"4";"31";"2024-07-29T09:00:00Z";"1977.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T09:00:00Z";"4";"31";"2024-07-29T09:00:00Z";"228000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T09:00:00Z";"4";"31";"2024-07-29T08:50:00Z";"1973.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T09:00:00Z";"4";"31";"2024-07-29T08:50:00Z";"225000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T09:00:00Z";"4";"31";"2024-07-29T08:40:00Z";"1975.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T09:00:00Z";"4";"31";"2024-07-29T08:40:00Z";"227000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T09:00:00Z";"4";"31";"2024-07-29T08:30:00Z";"1976.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T09:00:00Z";"4";"31";"2024-07-29T08:30:00Z";"228000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T09:00:00Z";"4";"31";"2024-07-29T08:20:00Z";"1972.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T09:00:00Z";"4";"31";"2024-07-29T08:20:00Z";"224000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T09:00:00Z";"4";"31";"2024-07-29T08:10:00Z";"1968.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T09:00:00Z";"4";"31";"2024-07-29T08:10:00Z";"220000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T08:00:00Z";"4";"31";"2024-07-29T08:00:00Z";"1972.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T08:00:00Z";"4";"31";"2024-07-29T08:00:00Z";"224000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T08:00:00Z";"4";"31";"2024-07-29T07:50:00Z";"1965.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"Q";"2024-07-29T00:10:00Z";"2024-07-29T08:00:00Z";"4";"31";"2024-07-29T07:50:00Z";"217000.0";"12";"Interpolation";"12";"Douteuse";"true";"4.87504816603871";"46.78800780303116"
"U3120010";"U312001001";"H";"2024-07-29T00:10:00Z";"2024-07-29T08:00:00Z";"4";"31";"2024-07-29T07:40:00Z";"1975.0";"0";"Mesure";"16";"Non qualifiée";"true";"4.87504816603871";"46.78800780303116"
